与	yǔ	(conj/prep) and; with [See Grammar 2.]
夫妻	fūqī	(n) husband and wife, couple
退休	tuìxiū	(v) to retire
博物馆	bówùguǎn	(n) museum
不必	búbì	(adv) need not, do not need to
散步	sàn bù	(vo) to take a walk, to go for a walk
锻炼	duànliàn	(v) to exercise, to work out, to undergo physical training
广场	guǎngchǎng	(n) public square
太极拳	tàijíquán	(n) tai chi (a form of traditional Chinese shadowboxing)
早晨	zǎochen	(n) morning, early morning
成为	chéngwéi	(v) to become, to turn into
出门	chū mén	(vo) to go out, to leave home
瑜伽	yújiā	(n) yoga
动作	dòngzuò	(n) movement, action
树	shù	(n) tree
重视	zhòngshì	(v) to attach importance to
注意	zhùyì	(v/n) to pay attention to; attention
等等	ěng	(p) and so forth, etc.
健身房	jiànshēnfáng	(n) fitness center, gym
等于	děngyú	(v) to equal, to be equivalent to, to amount to
减肥	jiǎn féi	(vo) to lose weight (lit. to reduce fat)
只要	zhǐyào	(conj) as long as, provided
随便	suíbiàn	(adj/vo) casual, careless; to do as one pleases
即使	jíshǐ	(conj) even if
营养	yíngyǎng	(n) nutrition, nourishment
饱	bǎo	(adj) full, satiated (after a meal)
科学	kēxué	(n/adj) science; scientific
方面	fāngmiàn	(n) aspect, respect
必须	bìxū	(adv) must, have to, be obliged to
吸烟	xī yān	(vo) to smoke a cigarette
熬夜	áo yè	(vo) to stay up late or all night
补充	bǔchōng	(v) to supplement, to replenish
睡眠	shuìmián	(n) sleep
只	zhī	(m) measure word for one of certain paired things and some animals
熊猫	xióngmāo	(n) panda
李文	Lǐ Wén	(pn) Wen Li (a personal name)
